sweep_axis,tilt_angle,repeat,position,label,angle_x,angle_y,cx,cy
y,0.15999999999999998,1,0,"(-x,+y)",-0.0,0.15999999999999998,1214.7477081316706,827.2305293813668
y,0.15999999999999998,1,1,"(0,+y)",0.0,0.15999999999999998,1214.7502764266565,827.2816781203386
y,0.15999999999999998,1,2,"(+x,+y)",0.0,0.15999999999999998,1214.7391312842822,827.2834046466196
y,0.15999999999999998,1,3,"(-x, 0)",-0.0,0.0,1214.7100635885695,826.7411013168932
y,0.15999999999999998,1,4,"(0, 0)",0.0,0.0,1214.7265809239182,826.7256587366375
y,0.15999999999999998,1,5,"(+x, 0)",0.0,0.0,1214.7238189534564,826.7337127358281
y,0.15999999999999998,1,6,"(-x,-y)",-0.0,-0.15999999999999998,1214.699736304077,826.1876875507106
y,0.15999999999999998,1,7,"(0,-y)",0.0,-0.15999999999999998,1214.7005349547403,826.1762483974038
y,0.15999999999999998,1,8,"(+x,-y)",0.0,-0.15999999999999998,1214.7007960342928,826.1671568868434
y,0.15999999999999998,2,0,"(-x,+y)",-0.0,0.15999999999999998,1214.7581974600284,827.2745916870405
y,0.15999999999999998,2,1,"(0,+y)",0.0,0.15999999999999998,1214.7553038619462,827.2751119431979
y,0.15999999999999998,2,2,"(+x,+y)",0.0,0.15999999999999998,1214.7454487475886,827.2146106567938
y,0.15999999999999998,2,3,"(-x, 0)",-0.0,0.0,1214.7708908883849,826.6551034786986
y,0.15999999999999998,2,4,"(0, 0)",0.0,0.0,1214.7450377249513,826.6654034133505
y,0.15999999999999998,2,5,"(+x, 0)",0.0,0.0,1214.764079644525,826.6639694228301
y,0.15999999999999998,2,6,"(-x,-y)",-0.0,-0.15999999999999998,1214.740622944414,826.1698012518859
y,0.15999999999999998,2,7,"(0,-y)",0.0,-0.15999999999999998,1214.7281412967907,826.1481287095038
y,0.15999999999999998,2,8,"(+x,-y)",0.0,-0.15999999999999998,1214.749495561661,826.2571254153572
y,0.15999999999999998,3,0,"(-x,+y)",-0.0,0.15999999999999998,1214.781824609362,827.337282645926
y,0.15999999999999998,3,1,"(0,+y)",0.0,0.15999999999999998,1214.7683504753722,827.2810659603857
y,0.15999999999999998,3,2,"(+x,+y)",0.0,0.15999999999999998,1214.770537398511,827.2717735615977
y,0.15999999999999998,3,3,"(-x, 0)",-0.0,0.0,1214.7743452688862,826.6622723170681
y,0.15999999999999998,3,4,"(0, 0)",0.0,0.0,1214.7383893683168,826.7153599757785
y,0.15999999999999998,3,5,"(+x, 0)",0.0,0.0,1214.7282874324887,826.77840828291
y,0.15999999999999998,3,6,"(-x,-y)",-0.0,-0.15999999999999998,1214.6844215879373,826.1713540195058
